GSSCode,year,recordedOffences
E09000003,2008,26374
E09000004,2008,16171
E09000005,2008,27213
E09000006,2008,26350
E09000007,2008,34175
E09000008,2008,32789
E09000009,2008,32747
E09000010,2008,24533
E09000011,2008,28677
E09000012,2008,29713
E09000013,2008,22928
E09000014,2008,27379
E09000015,2008,15047
E09000016,2008,18020
E09000017,2008,25420
E09000018,2008,23748
E09000019,2008,29383
E09000020,2008,21979
E09000021,2008,11296
E09000022,2008,35186
E09000023,2008,31553
E09000024,2008,15146
E09000025,2008,33519
E09000026,2008,24410
E09000027,2008,11885
E09000028,2008,39266
E09000029,2008,13831
E09000030,2008,27710
E09000031,2008,26240
E09000032,2008,25088
E09000033,2008,63331
E09000002,2009,19843
E09000003,2009,26273
E09000004,2009,15451
E09000005,2009,29046
E09000006,2009,23781
E09000007,2009,33773
E09000008,2009,33210
E09000009,2009,33654
E09000010,2009,24459
E09000011,2009,25622
E09000012,2009,28721
E09000013,2009,22867
E09000014,2009,25743
E09000015,2009,15392
E09000016,2009,17153
E09000017,2009,24165
E09000018,2009,23142
E09000019,2009,28432
E09000020,2009,20883
E09000021,2009,11012
E09000022,2009,35458
E09000023,2009,29553
E09000024,2009,14840
E09000025,2009,34259
E09000026,2009,24034
E09000027,2009,11529
E09000028,2009,37048
E09000029,2009,13033
E09000030,2009,26990
E09000031,2009,27266
E09000032,2009,25469
E09000033,2009,64022
E09000002,2010,19177
E09000003,2010,25701
E09000004,2010,13739
E09000005,2010,29492
E09000006,2010,22031
E09000007,2010,34205
E09000008,2010,32292
E09000009,2010,35030
E09000010,2010,23657
E09000011,2010,24130
E09000012,2010,28016
E09000013,2010,24151
E09000014,2010,24588
E09000015,2010,14973
E09000016,2010,17581
E09000017,2010,23535
E09000018,2010,23855
E09000019,2010,28076
E09000020,2010,21181
E09000021,2010,11150
E09000022,2010,35672
E09000023,2010,28874
E09000024,2010,14721
E09000025,2010,34361
E09000026,2010,24519
E09000027,2010,11734
E09000028,2010,36252
E09000029,2010,12408
E09000030,2010,28652
E09000031,2010,27539
E09000032,2010,24723
E09000033,2010,63996
E09000002,2011,18825
E09000003,2011,26281
E09000004,2011,12168
E09000005,2011,31592
E09000006,2011,21903
E09000007,2011,35799
E09000008,2011,32775
E09000009,2011,32575
E09000010,2011,22928
E09000011,2011,22415
E09000012,2011,27902
E09000013,2011,23426
E09000014,2011,25911
E09000015,2011,14169
E09000016,2011,17302
E09000017,2011,23937
E09000018,2011,24768
E09000019,2011,27025
E09000020,2011,20766
E09000021,2011,11232
E09000022,2011,36993
E09000023,2011,27172
E09000024,2011,14157
E09000025,2011,32011
E09000026,2011,24257
E09000027,2011,12012
