Code,Borough,year,Offences,Rate,recordedOffences
E09000019,Islington,2002,All recorded offences,218.9,39425
E09000020,Kensington and Chelsea,2002,All recorded offences,194.8,31921
E09000021,Kingston upon Thames,2002,All recorded offences,95.8,14330
E09000022,Lambeth,2002,All recorded offences,198.5,54188
E09000023,Lewisham,2002,All recorded offences,113.4,28763
E09000024,Merton,2002,All recorded offences,93.8,17880
E09000025,Newham,2002,All recorded offences,161.2,41157
E09000026,Redbridge,2002,All recorded offences,117.6,28737
E09000027,Richmond upon Thames,2002,All recorded offences,95.8,16814
E09000028,Southwark,2002,All recorded offences,179.3,45960
E09000029,Sutton,2002,All recorded offences,82.7,14987
E09000030,Tower Hamlets,2002,All recorded offences,198.6,41124
E09000031,Waltham Forest,2002,All recorded offences,144.2,32264
E09000032,Wandsworth,2002,All recorded offences,131.7,36204
E09000033,Westminster,2002,All recorded offences,414,86151
E09000002,Barking and Dagenham,2003,All recorded offences,133.2,22144
E09000003,Barnet,2003,All recorded offences,112.8,36288
E09000004,Bexley,2003,All recorded offences,92.5,20344
E09000005,Brent,2003,All recorded offences,133.6,35837
E09000006,Bromley,2003,All recorded offences,104,30918
E09000007,Camden,2003,All recorded offences,249.8,51016
E09000008,Croydon,2003,All recorded offences,110.3,37043
E09000009,Ealing,2003,All recorded offences,123.1,37927
E09000010,Enfield,2003,All recorded offences,106.4,29998
E09000011,Greenwich,2003,All recorded offences,139.8,31347
E09000012,Hackney,2003,All recorded offences,183.8,39035
E09000013,Hammersmith and Fulham,2003,All recorded offences,167,28650
E09000014,Haringey,2003,All recorded offences,163.6,36807
E09000015,Harrow,2003,All recorded offences,86.2,18430
E09000016,Havering,2003,All recorded offences,98.4,22165
E09000017,Hillingdon,2003,All recorded offences,118.3,29349
E09000018,Hounslow,2003,All recorded offences,140.5,30416
E09000019,Islington,2003,All recorded offences,225.6,40816
E09000020,Kensington and Chelsea,2003,All recorded offences,180.8,29873
E09000021,Kingston upon Thames,2003,All recorded offences,109,16309
E09000022,Lambeth,2003,All recorded offences,183.5,49937
E09000023,Lewisham,2003,All recorded offences,125.3,31577
E09000024,Merton,2003,All recorded offences,99,18738
E09000025,Newham,2003,All recorded offences,158.5,40615
E09000026,Redbridge,2003,All recorded offences,114.9,28438
E09000027,Richmond upon Thames,2003,All recorded offences,87.2,15446
E09000028,Southwark,2003,All recorded offences,181.3,46276
E09000029,Sutton,2003,All recorded offences,89.1,16154
E09000030,Tower Hamlets,2003,All recorded offences,187.8,39188
E09000031,Waltham Forest,2003,All recorded offences,137.9,30912
E09000032,Wandsworth,2003,All recorded offences,121.3,33567
E09000033,Westminster,2003,All recorded offences,375.8,79296
E09000002,Barking and Dagenham,2004,All recorded offences,129.5,21442
E09000003,Barnet,2004,All recorded offences,117,37887
E09000004,Bexley,2004,All recorded offences,85.4,18859
E09000005,Brent,2004,All recorded offences,132.6,35582
E09000006,Bromley,2004,All recorded offences,103.5,30761
E09000007,Camden,2004,All recorded offences,219.1,45432
E09000008,Croydon,2004,All recorded offences,103.8,35004
E09000009,Ealing,2004,All recorded offences,117.4,36418
E09000010,Enfield,2004,All recorded offences,99.7,28131
E09000011,Greenwich,2004,All recorded offences,137.3,31186
E09000012,Hackney,2004,All recorded offences,170.9,36492
E09000013,Hammersmith and Fulham,2004,All recorded offences,157.7,27139
E09000014,Haringey,2004,All recorded offences,157,35553
E09000015,Harrow,2004,All recorded offences,83.7,18107
E09000016,Havering,2004,All recorded offences,94.9,21431
E09000017,Hillingdon,2004,All recorded offences,111.8,27800
E09000018,Hounslow,2004,All recorded offences,127.2,27908
E09000019,Islington,2004,All recorded offences,209.9,37956
E09000020,Kensington and Chelsea,2004,All recorded offences,161.8,26812
E09000021,Kingston upon Thames,2004,All recorded offences,103.9,15690
E09000022,Lambeth,2004,All recorded offences,166.9,45784
E09000023,Lewisham,2004,All recorded offences,138,34833
E09000024,Merton,2004,All recorded offences,91.5,17281
E09000025,Newham,2004,All recorded offences,143.3,36460
E09000026,Redbridge,2004,All recorded offences,105.2,26173
E09000027,Richmond upon Thames,2004,All recorded offences,85.4,15320
E09000028,Southwark,2004,All recorded offences,170.1,43771
E09000029,Sutton,2004,All recorded offences,93.6,16942
E09000030,Tower Hamlets,2004,All recorded offences,172,36329
E09000031,Waltham Forest,2004,All recorded offences,131.1,29491
E09000032,Wandsworth,2004,All recorded offences,113.6,31641
E09000033,Westminster,2004,All recorded offences,369.8,79338
E09000002,Barking and Dagenham,2005,All recorded offences,132.7,22062
E09000003,Barnet,2005,All recorded offences,106.5,34871
E09000004,Bexley,2005,All recorded offences,90,20011
E09000005,Brent,2005,All recorded offences,129.7,35140
E09000006,Bromley,2005,All recorded offences,102.8,30793
E09000007,Camden,2005,All recorded offences,200.1,42236
E09000008,Croydon,2005,All recorded offences,102.8,34859
E09000009,Ealing,2005,All recorded offences,119.2,37295
E09000010,Enfield,2005,All recorded offences,96.5,27473
E09000011,Greenwich,2005,All recorded offences,136,31354
E09000012,Hackney,2005,All recorded offences,159.9,34630
E09000013,Hammersmith and Fulham,2005,All recorded offences,149.2,25861
E09000014,Haringey,2005,All recorded offences,154.3,35367
E09000015,Harrow,2005,All recorded offences,79.1,17481
E09000016,Havering,2005,All recorded offences,95.9,21772
E09000017,Hillingdon,2005,All recorded offences,112.9,28377
E09000018,Hounslow,2005,All recorded offences,121.7,27233
E09000019,Islington,2005,All recorded offences,201.9,37050
E09000020,Kensington and Chelsea,2005,All recorded offences,146.9,24731
E09000021,Kingston upon Thames,2005,All recorded offences,99.3,15141
E09000022,Lambeth,2005,All recorded offences,151.2,41968
E09000023,Lewisham,2005,All recorded offences,131,33387
E09000024,Merton,2005,All recorded offences,90.8,17299
E09000025,Newham,2005,All recorded offences,153.7,39020
E09000026,Redbridge,2005,All recorded offences,98.1,24679
E09000027,Richmond upon Thames,2005,All recorded offences,82,14891
E09000028,Southwark,2005,All recorded offences,158.3,41432
E09000029,Sutton,2005,All recorded offences,88.3,16077
E09000030,Tower Hamlets,2005,All recorded offences,158.2,33756
E09000031,Waltham Forest,2005,All recorded offences,132.9,30143
E09000032,Wandsworth,2005,All recorded offences,106.4,30130
E09000033,Westminster,2005,All recorded offences,320.8,71582
E09000002,Barking and Dagenham,2006,All recorded offences,127.9,21384
E09000003,Barnet,2006,All recorded offences,90.4,29920
E09000004,Bexley,2006,All recorded offences,76.1,16997
E09000005,Brent,2006,All recorded offences,110.2,30474
E09000006,Bromley,2006,All recorded offences,94.4,28424
E09000007,Camden,2006,All recorded offences,201.1,42435
E09000008,Croydon,2006,All recorded offences,92.6,31510
E09000009,Ealing,2006,All recorded offences,116.5,36734
E09000010,Enfield,2006,All recorded offences,94.1,27058
E09000011,Greenwich,2006,All recorded offences,127.5,29829
E09000012,Hackney,2006,All recorded offences,141.5,31160
E09000013,Hammersmith and Fulham,2006,All recorded offences,145,25334
E09000014,Haringey,2006,All recorded offences,131.2,30595
E09000015,Harrow,2006,All recorded offences,70.8,15837
E09000016,Havering,2006,All recorded offences,87.6,19997
E09000017,Hillingdon,2006,All recorded offences,110.6,28144
E09000018,Hounslow,2006,All recorded offences,107.3,24485
E09000019,Islington,2006,All recorded offences,190.2,35248
E09000020,Kensington and Chelsea,2006,All recorded offences,147.2,24328
E09000021,Kingston upon Thames,2006,All recorded offences,85.3,13105
E09000022,Lambeth,2006,All recorded offences,138.6,38868
E09000023,Lewisham,2006,All recorded offences,124.6,32150
E09000024,Merton,2006,All recorded offences,83.5,16078
E09000025,Newham,2006,All recorded offences,138,35597
E09000026,Redbridge,2006,All recorded offences,96.4,24646
E09000027,Richmond upon Thames,2006,All recorded offences,73.5,13408
E09000028,Southwark,2006,All recorded offences,148.4,39713
E09000029,Sutton,2006,All recorded offences,84.3,15408
E09000030,Tower Hamlets,2006,All recorded offences,149.4,32627
E09000031,Waltham Forest,2006,All recorded offences,125.4,28927
E09000032,Wandsworth,2006,All recorded offences,104.5,30039
E09000033,Westminster,2006,All recorded offences,297.4,66267
E09000002,Barking and Dagenham,2007,All recorded offences,115.6,19536
E09000003,Barnet,2007,All recorded offences,79.6,26645
E09000004,Bexley,2007,All recorded offences,74.8,16811
E09000005,Brent,2007,All recorded offences,99.3,28126
E09000006,Bromley,2007,All recorded offences,83.3,25195
E09000007,Camden,2007,All recorded offences,167.4,35398
E09000008,Croydon,2007,All recorded offences,88.9,30587
E09000009,Ealing,2007,All recorded offences,106.6,33963
E09000010,Enfield,2007,All recorded offences,86.7,25275
E09000011,Greenwich,2007,All recorded offences,129.4,30617
E09000012,Hackney,2007,All recorded offences,143.6,32241
E09000013,Hammersmith and Fulham,2007,All recorded offences,131.6,23219
E09000014,Haringey,2007,All recorded offences,124.5,29487
E09000015,Harrow,2007,All recorded offences,62.2,14074
E09000016,Havering,2007,All recorded offences,74.9,17200
E09000017,Hillingdon,2007,All recorded offences,102.7,26399
E09000018,Hounslow,2007,All recorded offences,101.2,23623
E09000019,Islington,2007,All recorded offences,160.2,30228
E09000020,Kensington and Chelsea,2007,All recorded offences,144.2,23485
