Code,Borough,year,Offences,Rate,recordedOffences
E09000018,Hounslow,2014,All recorded offences,78.4,20825
E09000019,Islington,2014,All recorded offences,118.6,26222
E09000020,Kensington and Chelsea,2014,All recorded offences,120.6,18836
E09000021,Kingston upon Thames,2014,All recorded offences,57.5,9774
E09000022,Lambeth,2014,All recorded offences,103.8,33025
E09000023,Lewisham,2014,All recorded offences,75.7,22109
E09000024,Merton,2014,All recorded offences,59.8,12164
E09000025,Newham,2014,All recorded offences,89.4,28986
E09000026,Redbridge,2014,All recorded offences,68.7,20128
E09000027,Richmond upon Thames,2014,All recorded offences,55.7,10788
E09000028,Southwark,2014,All recorded offences,99.6,30130
E09000029,Sutton,2014,All recorded offences,55.4,10974
E09000030,Tower Hamlets,2014,All recorded offences,96.3,27348
E09000031,Waltham Forest,2014,All recorded offences,77.5,20782
E09000032,Wandsworth,2014,All recorded offences,72.3,22583
E09000033,Westminster,2014,All recorded offences,206.9,48279
E09000002,Barking and Dagenham,2015,All recorded offences,86.5,17477
E09000003,Barnet,2015,All recorded offences,65.8,24978
E09000004,Bexley,2015,All recorded offences,52.2,12644
E09000005,Brent,2015,All recorded offences,80.6,26128
E09000006,Bromley,2015,All recorded offences,65.1,21137
E09000007,Camden,2015,All recorded offences,125.2,30185
E09000008,Croydon,2015,All recorded offences,76.4,28951
E09000009,Ealing,2015,All recorded offences,78.8,27032
E09000010,Enfield,2015,All recorded offences,69.9,22942
E09000011,Greenwich,2015,All recorded offences,79.9,21950
E09000012,Hackney,2015,All recorded offences,101.1,27209
E09000013,Hammersmith and Fulham,2015,All recorded offences,114.3,20514
E09000014,Haringey,2015,All recorded offences,95.4,26024
E09000015,Harrow,2015,All recorded offences,53.3,13174
E09000016,Havering,2015,All recorded offences,67.7,16851
E09000017,Hillingdon,2015,All recorded offences,73.8,21972
E09000018,Hounslow,2015,All recorded offences,81.6,21926
E09000019,Islington,2015,All recorded offences,123.6,28144
E09000020,Kensington and Chelsea,2015,All recorded offences,124.7,19663
E09000021,Kingston upon Thames,2015,All recorded offences,58.5,10155
E09000022,Lambeth,2015,All recorded offences,107.9,34998
E09000023,Lewisham,2015,All recorded offences,83.1,24712
E09000024,Merton,2015,All recorded offences,63.2,12933
E09000025,Newham,2015,All recorded offences,90.4,30084
E09000026,Redbridge,2015,All recorded offences,66.2,19637
E09000027,Richmond upon Thames,2015,All recorded offences,55.1,10729
E09000028,Southwark,2015,All recorded offences,101.7,31422
E09000029,Sutton,2015,All recorded offences,54.7,10949
E09000030,Tower Hamlets,2015,All recorded offences,97.4,28752
E09000031,Waltham Forest,2015,All recorded offences,80.4,21799
E09000032,Wandsworth,2015,All recorded offences,74.1,23292
E09000033,Westminster,2015,All recorded offences,203.1,49204
E09000002,Barking and Dagenham,2016,All recorded offences,70.9,14638
E09000003,Barnet,2016,All recorded offences,55.8,21549
E09000004,Bexley,2016,All recorded offences,45.6,11163
E09000005,Brent,2016,All recorded offences,70.8,23237
E09000006,Bromley,2016,All recorded offences,52.7,17243
E09000007,Camden,2016,All recorded offences,103.1,25390
E09000008,Croydon,2016,All recorded offences,67.4,25777
E09000009,Ealing,2016,All recorded offences,69,23684
E09000010,Enfield,2016,All recorded offences,58.5,19401
E09000011,Greenwich,2016,All recorded offences,71.6,20023
E09000012,Hackney,2016,All recorded offences,91.2,24933
E09000013,Hammersmith and Fulham,2016,All recorded offences,98.1,17629
E09000014,Haringey,2016,All recorded offences,85.8,23894
E09000015,Harrow,2016,All recorded offences,45.5,11309
E09000016,Havering,2016,All recorded offences,58.1,14680
E09000017,Hillingdon,2016,All recorded offences,63.5,19195
E09000018,Hounslow,2016,All recorded offences,71.3,19339
E09000019,Islington,2016,All recorded offences,99.9,23254
E09000020,Kensington and Chelsea,2016,All recorded offences,109.8,17206
E09000021,Kingston upon Thames,2016,All recorded offences,49.6,8739
E09000022,Lambeth,2016,All recorded offences,90.8,29787
E09000023,Lewisham,2016,All recorded offences,68.4,20654
E09000024,Merton,2016,All recorded offences,53.5,10973
E09000025,Newham,2016,All recorded offences,77.1,26306
E09000026,Redbridge,2016,All recorded offences,56.7,16963
E09000027,Richmond upon Thames,2016,All recorded offences,49.9,9780
E09000028,Southwark,2016,All recorded offences,87.9,27529
E09000029,Sutton,2016,All recorded offences,45,9102
E09000030,Tower Hamlets,2016,All recorded offences,85.3,26005
E09000031,Waltham Forest,2016,All recorded offences,64.9,17899
E09000032,Wandsworth,2016,All recorded offences,65.8,20809
E09000033,Westminster,2016,All recorded offences,171.3,42414
